Python terms,Expanded Terms,French Translations,French Corrections,Greek Translations,Greek Corrections,Hindi Translations,Hindi Corrections,Bengali  Translations,Bengali  Corrections
Random Module,,,,,,,,,
choices,choices,choix,choix,επιλογές,επιλογές,विकल्प,विकल्प,পছন্দ,পছন্দ
vonmisesvariate,Von Mises variate,Von_mises_varier,variable_de_Von_Mises,Von_Mises_Variate,von_mises_μετ,वॉन_मिस्स_वेरिएट,वॉन_मिस्स_वेरिएट,ভন _মাইস _ভেরিয়েট,ভন _মাইস _ভেরিয়েট
gauss,Gaussian,Gaussian,gaussien,Gaussian,Κανονική,गाऊसी,गॉस,গাউসিয়ান,গাউসিয়ান
choice,choice,choix,choix,επιλογή,επιλογή,पसंद,विकल्प,পছন্দ,পছন্দ
normalvariate,normal variate,variation_normale,variable_normale,κανονική_ποικιλία,κανονική_μεταβλητή,सामान्य_परिवर्तन,सामान्य_वेरिएट,সাধারণ _ভেরিয়েট,সাধারণ _ভেরিয়েট
getstate,get state,faire_état,obtenir_état,παίρνω_κατάσταση,πάρε_κατάσταση,राज्य_प्राप्त_करना,स्थिति_प्राप्त_करें,রাষ্ট্র _পান,অবস্থা _আন
uniform,uniform,uniforme,uniforme,στολή,ομοιόμορφη,वर्दी,समरूप,ইউনিফর্ম,অভিন্ন
getrandbits,get random bits,Obtenez_bits_aléatoires,obtenir_bits_aléatoires,Λάβετε_τυχαία_κομμάτια,πάρε_τυχαία_bit,यादृच्छिक_बिट्स_प्राप्त_करें,यादृच्छिक_बिट्स_प्राप्त_करें,এলোমেলো _বিট _পান,এলোমেলো _বিট _আন
setstate,set state,établir_état,établir_état,τεκμηριωμένη_κατάσταση,θέσε_κατάσταση,निर्धारित_राज्य,स्थिति_निर्धारित_करें,রাজ্য _সেট _করুন,অবস্থা _সেট _কর
random,random,aléatoire,aléatoire,τυχαίος,τυχαίος,यादृच्छिक,यादृच्छिक,এলোমেলো,এলোমেলো
shuffle,shuffle,mélange,mélanger,ανακατέψτε,ανακάτεψε,पुथल,पुथल,বদলানো,বদলানো
randrange,random range,gamme_aléatoire,domaine_aléatoire,τυχαίο_εύρος,τυχαίο_εύρος,यादृच्छिक_श्रेणी,यादृच्छिक_श्रेणी,এলোমেলো _পরিসীমা,এলোমেলো _পরিসীমা
lognormvariate,log normal variate,variateur_lognormal,log_variable_normal,ελλείμως,λογαριθμική_κανονική_μεταβλητή,लॉगनॉर्मल_वैरिएट,लॉग_सामान्य_वेरिएट,লগনরমাল _ভেরিয়েট,লগনরমাল _ভেরিয়েট
